District,Taluka,Infant Mortality Rate,Normalized IMR,Maternal Mortality Rate,Normalized MMR,ANC_IMR,ANC_MMR,Stress (ANC-20%),Stress (ANC+20%)
Bidar,Humnabad,21.75,0.7753758845,22.34169109,0.9338892666,21.20,15.345,0.04788042549,0.05027882265
Bagalkot,Hungund,1.84,0.9810032228,88.31774636,0.6981622911,14.12,6.3303,0.2203585859,0.2316304501
Yadgir,Hunisigi,8.42,0.9130586581,241.7694695,0.1498920065,20.38,19.1685,0.4653174755,0.4676493122
Mysuru,Hunsur,7.16,0.9260805677,70.96379522,0.7601665197,11.47,7.4105,0.06253291539,0.06429585248
Bagalkot,Ilkal,0.26,0.9973120206,88.31774636,0.6981622911,7.46,8.7837,0.265991968,0.2909259291
Vijayapura,Indi,14.79,0.84722159,55.54572223,0.8152540162,18.79,15.2704,0.008707177461,0.00742744086
Davanagere,Jagaluru,32.44,0.6649111049,140.8914027,0.5103209758,17.06,7.6397,0.2394706363,0.2374675215
Bagalkot,Jamakhandi,37.11,0.6166941438,25.57176923,0.9223484652,6.34,5.7077,0.3152600713,0.2996082543
Kalburgi,Jevargi,16.39,0.8307363588,52.2409803,0.8270615851,21.73,12.6027,0.2134230211,0.213268764
Uttara Kannada,Joida,80.92,0.1641287831,15.95917854,0.9566934548,10.59,3.1338,0.4311069378,0.4103873922
Kolara,K.G.F,4.66,0.9518141772,27.14848309,0.9167149973,4.28,6.983,0.0849545487,0.0875718456
